    DATE,State,UnempRate
2011-03-01,Arizona,9.7
2011-03-01,Arkansas,8.0
2011-03-01,California,12.1
2011-03-01,Colorado,8.8
2011-03-01,Connecticut,9.3
2011-03-01,Delaware,7.8
2011-03-01,Florida,10.4
2011-03-01,Georgia,10.3
2011-03-01,Hawaii,6.7
2011-03-01,Idaho,8.4
2011-03-01,Illinois,9.5
2011-03-01,Indiana,8.8
2011-03-01,Iowa,5.7
2011-03-01,Kansas,6.6
2011-03-01,Kentucky,9.5
2011-03-01,Louisiana,7.6
2011-03-01,Maine,7.9
2011-03-01,Maryland,7.4
2011-03-01,Massachusetts,7.4
2011-03-01,Michigan,9.9
2011-03-01,Minnesota,6.7
2011-03-01,Mississippi,9.8
2011-03-01,Missouri,9.0
2011-03-01,Montana,6.8
2011-03-01,Nebraska,4.5
2011-03-01,Nevada,13.5
2011-03-01,New Hampshire,5.4
2011-03-01,New Jersey,9.4
2011-03-01,New Mexico,7.1
2011-03-01,New York,8.2
2011-03-01,North Carolina,10.2
2011-03-01,North Dakota,3.4
2011-03-01,Ohio,9.0
2011-03-01,Oklahoma,5.6
2011-03-01,Oregon,9.7
2011-03-01,Pennsylvania,7.6
2011-03-01,Rhode Island,11.0
2011-03-01,South Carolina,10.7
2011-03-01,South Dakota,5.5
2011-03-01,Tennessee,9.4
2011-03-01,Texas,8.1
2011-03-01,Utah,7.7
2011-03-01,Vermont,5.9
2011-03-01,Virginia,6.6
2011-03-01,Washington,8.8
2011-03-01,West Virginia,8.7
2011-03-01,Wisconsin,7.6
2011-03-01,Wyoming,6.3
2011-03-01,District of Columbia,10.1
2011-04-01,Alabama,9.9
2011-04-01,Alaska,7.8
2011-04-01,Arizona,9.6
2011-04-01,Arkansas,8.0
2011-04-01,California,12.0
2011-04-01,Colorado,8.7
2011-04-01,Connecticut,9.2
2011-04-01,Delaware,7.7
2011-04-01,Florida,10.3
2011-04-01,Georgia,10.3
2011-04-01,Hawaii,6.7
2011-04-01,Idaho,8.4
2011-04-01,Illinois,9.6
2011-04-01,Indiana,8.7
2011-04-01,Iowa,5.7
2011-04-01,Kansas,6.5
2011-04-01,Kentucky,9.5
2011-04-01,Louisiana,7.5
2011-04-01,Maine,7.8
2011-04-01,Maryland,7.3
2011-04-01,Massachusetts,7.4
2011-04-01,Michigan,10.0
2011-04-01,Minnesota,6.7
2011-04-01,Mississippi,9.9
2011-04-01,Missouri,8.9
2011-04-01,Montana,6.8
2011-04-01,Nebraska,4.5
2011-04-01,Nevada,13.5
2011-04-01,New Hampshire,5.4
2011-04-01,New Jersey,9.4
2011-04-01,New Mexico,7.1
2011-04-01,New York,8.2
2011-04-01,North Carolina,10.2
2011-04-01,North Dakota,3.4
2011-04-01,Ohio,9.0
2011-04-01,Oklahoma,5.6
2011-04-01,Oregon,9.6
2011-04-01,Pennsylvania,7.6
2011-04-01,Rhode Island,11.0
2011-04-01,South Carolina,10.7
2011-04-01,South Dakota,4.8
2011-04-01,Tennessee,9.3
2011-04-01,Texas,8.1
2011-04-01,Utah,7.7
2011-04-01,Vermont,5.8
2011-04-01,Virginia,6.5
2011-04-01,Washington,8.7
2011-04-01,West Virginia,7.8
2011-04-01,Wisconsin,7.6
2011-04-01,Wyoming,6.2
2011-04-01,District of Columbia,10.3
2011-05-01,Alabama,9.8
2011-05-01,Alaska,7.7
2011-05-01,Arizona,9.6
2011-05-01,Arkansas,8.0
2011-05-01,California,12.0
2011-05-01,Colorado,8.7
2011-05-01,Connecticut,9.2
2011-05-01,Delaware,7.7
2011-05-01,Florida,10.2
2011-05-01,Georgia,10.3
2011-05-01,Hawaii,6.8
2011-05-01,Idaho,8.3
2011-05-01,Illinois,9.8
2011-05-01,Indiana,8.8
2011-05-01,Iowa,5.7
2011-05-01,Kansas,6.4
2011-05-01,Kentucky,9.5
2011-05-01,Louisiana,7.4
2011-05-01,Maine,7.8
2011-05-01,Maryland,7.4
2011-05-01,Massachusetts,7.3
2011-05-01,Michigan,10.1
2011-05-01,Minnesota,6.7
2011-05-01,Mississippi,9.9
2011-05-01,Missouri,8.8
2011-05-01,Montana,6.7
2011-05-01,Nebraska,4.5
2011-05-01,Nevada,13.4
2011-05-01,New Hampshire,5.5
2011-05-01,New Jersey,9.4
2011-05-01,New Mexico,7.1
2011-05-01,New York,8.2
